season	day	capacitance	sampleNum	sampleSize	sleep	start	stop
winter	11	476	10	10	5	2.7	2.2
winter	11	476	10	10	10	2.7	2.2
winter	11	476	10	10	20	2.7	2.2
winter	11	476	10	20	5	2.7	2.2
winter	11	476	10	20	10	2.7	2.2
winter	11	476	10	20	20	2.7	2.2
winter	11	476	10	30	5	2.7	2.2
winter	11	476	10	30	10	2.7	2.2
winter	11	476	10	30	20	2.7	2.2
winter	11	476	20	10	5	2.7	2.2
winter	11	476	20	10	10	2.7	2.2
winter	11	476	20	10	20	2.7	2.2
winter	11	476	20	20	5	2.7	2.2
winter	11	476	20	20	10	2.7	2.2
winter	11	476	20	20	20	2.7	2.2
winter	11	476	20	30	5	2.7	2.2
winter	11	476	20	30	10	2.7	2.2
winter	11	476	20	30	20	2.7	2.2
winter	11	476	30	10	5	2.7	2.2
winter	11	476	30	10	10	2.7	2.2
winter	11	476	30	10	20	2.7	2.2
winter	11	476	30	20	5	2.7	2.2
winter	11	476	30	20	10	2.7	2.2
winter	11	476	30	20	20	2.7	2.2
winter	11	476	30	30	5	2.7	2.2
winter	11	476	30	30	10	2.7	2.2
winter	11	476	30	30	20	2.7	2.2
winter	11	352	10	10	5	2.7	2.2
winter	11	352	10	10	10	2.7	2.2
winter	11	352	10	10	20	2.7	2.2
winter	11	352	10	20	5	2.7	2.2
winter	11	352	10	20	10	2.7	2.2
winter	11	352	10	20	20	2.7	2.2
winter	11	352	10	30	5	2.7	2.2
winter	11	352	10	30	10	2.7	2.2
winter	11	352	10	30	20	2.7	2.2
winter	11	352	20	10	5	2.7	2.2
winter	11	352	20	10	10	2.7	2.2
winter	11	352	20	10	20	2.7	2.2
winter	11	352	20	20	5	2.7	2.2
winter	11	352	20	20	10	2.7	2.2
winter	11	352	20	20	20	2.7	2.2
winter	11	352	20	30	5	2.7	2.2
winter	11	352	20	30	10	2.7	2.2
winter	11	352	20	30	20	2.7	2.2
winter	11	352	30	10	5	2.7	2.2
winter	11	352	30	10	10	2.7	2.2
winter	11	352	30	10	20	2.7	2.2
winter	11	352	30	20	5	2.7	2.2
winter	11	352	30	20	10	2.7	2.2
winter	11	352	30	20	20	2.7	2.2
winter	11	352	30	30	5	2.7	2.2
winter	11	352	30	30	10	2.7	2.2
winter	11	352	30	30	20	2.7	2.2
winter	11	205	10	10	5	2.7	2.2
winter	11	205	10	10	10	2.7	2.2
winter	11	205	10	10	20	2.7	2.2
winter	11	205	10	20	5	2.7	2.2
winter	11	205	10	20	10	2.7	2.2
winter	11	205	10	20	20	2.7	2.2
winter	11	205	10	30	5	2.7	2.2
winter	11	205	10	30	10	2.7	2.2
winter	11	205	10	30	20	2.7	2.2
winter	11	205	20	10	5	2.7	2.2
winter	11	205	20	10	10	2.7	2.2
winter	11	205	20	10	20	2.7	2.2
winter	11	205	20	20	5	2.7	2.2
winter	11	205	20	20	10	2.7	2.2
winter	11	205	20	20	20	2.7	2.2
winter	11	205	20	30	5	2.7	2.2
winter	11	205	20	30	10	2.7	2.2
winter	11	205	20	30	20	2.7	2.2
winter	11	205	30	10	5	2.7	2.2
winter	11	205	30	10	10	2.7	2.2
winter	11	205	30	10	20	2.7	2.2
winter	11	205	30	20	5	2.7	2.2
winter	11	205	30	20	10	2.7	2.2
winter	11	205	30	20	20	2.7	2.2
winter	11	205	30	30	5	2.7	2.2
winter	11	205	30	30	10	2.7	2.2
winter	11	205	30	30	20	2.7	2.2
winter	20	476	10	10	5	2.7	2.2
winter	20	476	10	10	10	2.7	2.2
winter	20	476	10	10	20	2.7	2.2
winter	20	476	10	20	5	2.7	2.2
winter	20	476	10	20	10	2.7	2.2
winter	20	476	10	20	20	2.7	2.2
winter	20	476	10	30	5	2.7	2.2
winter	20	476	10	30	10	2.7	2.2
winter	20	476	10	30	20	2.7	2.2
winter	20	476	20	10	5	2.7	2.2
winter	20	476	20	10	10	2.7	2.2
winter	20	476	20	10	20	2.7	2.2
winter	20	476	20	20	5	2.7	2.2
winter	20	476	20	20	10	2.7	2.2
winter	20	476	20	20	20	2.7	2.2
winter	20	476	20	30	5	2.7	2.2
winter	20	476	20	30	10	2.7	2.2
winter	20	476	20	30	20	2.7	2.2
winter	20	476	30	10	5	2.7	2.2
winter	20	476	30	10	10	2.7	2.2
winter	20	476	30	10	20	2.7	2.2
winter	20	476	30	20	5	2.7	2.2
winter	20	476	30	20	10	2.7	2.2
winter	20	476	30	20	20	2.7	2.2
winter	20	476	30	30	5	2.7	2.2
winter	20	476	30	30	10	2.7	2.2
winter	20	476	30	30	20	2.7	2.2
winter	20	352	10	10	5	2.7	2.2
winter	20	352	10	10	10	2.7	2.2
winter	20	352	10	10	20	2.7	2.2
winter	20	352	10	20	5	2.7	2.2
winter	20	352	10	20	10	2.7	2.2
winter	20	352	10	20	20	2.7	2.2
winter	20	352	10	30	5	2.7	2.2
winter	20	352	10	30	10	2.7	2.2
winter	20	352	10	30	20	2.7	2.2
winter	20	352	20	10	5	2.7	2.2
winter	20	352	20	10	10	2.7	2.2
winter	20	352	20	10	20	2.7	2.2
winter	20	352	20	20	5	2.7	2.2
winter	20	352	20	20	10	2.7	2.2
winter	20	352	20	20	20	2.7	2.2
winter	20	352	20	30	5	2.7	2.2
winter	20	352	20	30	10	2.7	2.2
winter	20	352	20	30	20	2.7	2.2
winter	20	352	30	10	5	2.7	2.2
winter	20	352	30	10	10	2.7	2.2
winter	20	352	30	10	20	2.7	2.2
winter	20	352	30	20	5	2.7	2.2
winter	20	352	30	20	10	2.7	2.2
winter	20	352	30	20	20	2.7	2.2
winter	20	352	30	30	5	2.7	2.2
winter	20	352	30	30	10	2.7	2.2
winter	20	352	30	30	20	2.7	2.2
winter	20	205	10	10	5	2.7	2.2
winter	20	205	10	10	10	2.7	2.2
winter	20	205	10	10	20	2.7	2.2
winter	20	205	10	20	5	2.7	2.2
winter	20	205	10	20	10	2.7	2.2
winter	20	205	10	20	20	2.7	2.2
winter	20	205	10	30	5	2.7	2.2
winter	20	205	10	30	10	2.7	2.2
winter	20	205	10	30	20	2.7	2.2
winter	20	205	20	10	5	2.7	2.2
winter	20	205	20	10	10	2.7	2.2
winter	20	205	20	10	20	2.7	2.2
winter	20	205	20	20	5	2.7	2.2
winter	20	205	20	20	10	2.7	2.2
